"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"279",2018,1,12,15,155,68,2018-01-12 15:00:00,"2018","January"
"280",2018,1,12,16,153,53,2018-01-12 16:00:00,"2018","January"
"281",2018,1,12,17,153,60,2018-01-12 17:00:00,"2018","January"
"282",2018,1,12,18,153,56,2018-01-12 18:00:00,"2018","January"
"283",2018,1,12,19,152,56,2018-01-12 19:00:00,"2018","January"
"284",2018,1,12,20,153,65,2018-01-12 20:00:00,"2018","January"
"285",2018,1,12,21,156,73,2018-01-12 21:00:00,"2018","January"
"286",2018,1,12,22,155,60,2018-01-12 22:00:00,"2018","January"
"287",2018,1,12,23,156,72,2018-01-12 23:00:00,"2018","January"
"288",2018,1,13,0,162,90,2018-01-13 00:00:00,"2018","January"
"289",2018,1,13,1,164,87,2018-01-13 01:00:00,"2018","January"
"290",2018,1,13,2,165,86,2018-01-13 02:00:00,"2018","January"
"291",2018,1,13,3,167,91,2018-01-13 03:00:00,"2018","January"
"292",2018,1,13,4,167,88,2018-01-13 04:00:00,"2018","January"
"293",2018,1,13,5,171,102,2018-01-13 05:00:00,"2018","January"
"294",2018,1,13,6,172,98,2018-01-13 06:00:00,"2018","January"
"295",2018,1,13,7,171,93,2018-01-13 07:00:00,"2018","January"
"296",2018,1,13,8,170,90,2018-01-13 08:00:00,"2018","January"
"297",2018,1,13,9,162,56,2018-01-13 09:00:00,"2018","January"
"298",2018,1,13,10,153,46,2018-01-13 10:00:00,"2018","January"
"299",2018,1,13,11,133,37,2018-01-13 11:00:00,"2018","January"
"300",2018,1,13,12,110,30,2018-01-13 12:00:00,"2018","January"
"301",2018,1,13,13,104,34,2018-01-13 13:00:00,"2018","January"
"302",2018,1,13,14,108,40,2018-01-13 14:00:00,"2018","January"
"303",2018,1,13,15,114,43,2018-01-13 15:00:00,"2018","January"
"304",2018,1,13,16,117,43,2018-01-13 16:00:00,"2018","January"
"305",2018,1,13,17,120,45,2018-01-13 17:00:00,"2018","January"
"306",2018,1,13,18,153,74,2018-01-13 18:00:00,"2018","January"
"307",2018,1,13,19,160,89,2018-01-13 19:00:00,"2018","January"
"308",2018,1,13,20,156,57,2018-01-13 20:00:00,"2018","January"
"309",2018,1,13,21,156,65,2018-01-13 21:00:00,"2018","January"
"310",2018,1,13,22,159,76,2018-01-13 22:00:00,"2018","January"
"311",2018,1,13,23,162,84,2018-01-13 23:00:00,"2018","January"
"312",2018,1,14,0,164,86,2018-01-14 00:00:00,"2018","January"
"313",2018,1,14,1,163,76,2018-01-14 01:00:00,"2018","January"
"314",2018,1,14,2,167,94,2018-01-14 02:00:00,"2018","January"
"315",2018,1,14,3,166,81,2018-01-14 03:00:00,"2018","January"
"316",2018,1,14,4,165,81,2018-01-14 04:00:00,"2018","January"
"317",2018,1,14,5,163,75,2018-01-14 05:00:00,"2018","January"
"318",2018,1,14,6,162,74,2018-01-14 06:00:00,"2018","January"
"319",2018,1,14,7,161,70,2018-01-14 07:00:00,"2018","January"
"320",2018,1,14,8,161,75,2018-01-14 08:00:00,"2018","January"
"321",2018,1,14,9,162,80,2018-01-14 09:00:00,"2018","January"
"322",2018,1,14,10,164,88,2018-01-14 10:00:00,"2018","January"
"323",2018,1,14,11,162,68,2018-01-14 11:00:00,"2018","January"
"324",2018,1,14,12,160,67,2018-01-14 12:00:00,"2018","January"
"325",2018,1,14,13,157,58,2018-01-14 13:00:00,"2018","January"
"326",2018,1,14,14,154,52,2018-01-14 14:00:00,"2018","January"
"327",2018,1,14,15,152,55,2018-01-14 15:00:00,"2018","January"
"328",2018,1,14,16,155,69,2018-01-14 16:00:00,"2018","January"
"329",2018,1,14,17,153,54,2018-01-14 17:00:00,"2018","January"
"330",2018,1,14,18,152,54,2018-01-14 18:00:00,"2018","January"
"331",2018,1,14,19,153,63,2018-01-14 19:00:00,"2018","January"
"332",2018,1,14,20,157,80,2018-01-14 20:00:00,"2018","January"
"333",2018,1,14,21,154,51,2018-01-14 21:00:00,"2018","January"
"334",2018,1,14,22,152,54,2018-01-14 22:00:00,"2018","January"
"335",2018,1,14,23,154,68,2018-01-14 23:00:00,"2018","January"
"336",2018,1,15,0,159,83,2018-01-15 00:00:00,"2018","January"
"337",2018,1,15,1,157,60,2018-01-15 01:00:00,"2018","January"
"338",2018,1,15,2,156,63,2018-01-15 02:00:00,"2018","January"
"339",2018,1,15,3,158,73,2018-01-15 03:00:00,"2018","January"
"340",2018,1,15,4,156,61,2018-01-15 04:00:00,"2018","January"
"341",2018,1,15,5,156,65,2018-01-15 05:00:00,"2018","January"
"342",2018,1,15,6,156,66,2018-01-15 06:00:00,"2018","January"
"343",2018,1,15,7,156,65,2018-01-15 07:00:00,"2018","January"
"344",2018,1,15,8,153,49,2018-01-15 08:00:00,"2018","January"
"345",2018,1,15,9,152,55,2018-01-15 09:00:00,"2018","January"
"346",2018,1,15,10,147,50,2018-01-15 10:00:00,"2018","January"
"347",2018,1,15,11,139,47,2018-01-15 11:00:00,"2018","January"
"348",2018,1,15,12,109,28,2018-01-15 12:00:00,"2018","January"
"349",2018,1,15,13,102,33,2018-01-15 13:00:00,"2018","January"
"350",2018,1,15,14,100,35,2018-01-15 14:00:00,"2018","January"
"351",2018,1,15,15,94,30,2018-01-15 15:00:00,"2018","January"
"352",2018,1,15,16,90,29,2018-01-15 16:00:00,"2018","January"
"353",2018,1,15,17,98,38,2018-01-15 17:00:00,"2018","January"
